Master Code,Legacy Code,Category,Sub Category,Brand/Short Code,Item Name,Specification,Unit,Base Rate/Price,GST/TAX,HSN Code,Existing Image URL,Suggested Image Path,Suggested Image File,Match Score,Upload Status
MAT-000395,ELEC000395,Electrical -Connectors,Electrical,Havells,Heavy Duty Connector 16A 4P - Havells,Heavy Duty Connector 16A 4P - Havells,Nos,?620.00,18%,8545 42 20,,item_images/item_2_25mm_heavy_duty_conduit_pipe.jpg,item_2_25mm_heavy_duty_conduit_pipe.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-000395,ELEC000395,Electrical -Connectors,Electrical,Havells,Heavy Duty Connector 16A 4P - Havells,Heavy Duty Connector 16A 4P - Havells,Nos,?620.00,18%,8545 42 20,,item_images/item_3_32mm_heavy_duty_conduit_pipe.jpg,item_3_32mm_heavy_duty_conduit_pipe.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-000395,ELEC000395,Electrical -Connectors,Electrical,Havells,Heavy Duty Connector 16A 4P - Havells,Heavy Duty Connector 16A 4P - Havells,Nos,?620.00,18%,8545 42 20,,item_images/item_4_40mm_heavy_duty_conduit_pipe.jpg,item_4_40mm_heavy_duty_conduit_pipe.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-001316,PAIN001316,Paint Accessories,Paint Accessory,Dulux,"Paint Roller - Long Handle - Dulux - 12""","Paint Roller - Long Handle - Dulux - 12""",Nos,?225.00,18%,3212 10 90,,item_images/item_5_20mm_long_bend.jpg,item_5_20mm_long_bend.jpg,4,READY_FOR_IMAGE_UPLOAD
MAT-000443,ELEC000443,Electrical-Cable Accessories,Cable,Havells,Cable Gland 25mm Brass - Havells,Cable Gland 25mm Brass - Havells,Nos,?22.00,18%,3945 23 00,,item_images/item_6_25mm_long_bend.jpg,item_6_25mm_long_bend.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-001316,PAIN001316,Paint Accessories,Paint Accessory,Dulux,"Paint Roller - Long Handle - Dulux - 12""","Paint Roller - Long Handle - Dulux - 12""",Nos,?225.00,18%,3212 10 90,,item_images/item_7_32mm_long_bend.jpg,item_7_32mm_long_bend.jpg,4,READY_FOR_IMAGE_UPLOAD
MAT-001316,PAIN001316,Paint Accessories,Paint Accessory,Dulux,"Paint Roller - Long Handle - Dulux - 12""","Paint Roller - Long Handle - Dulux - 12""",Nos,?225.00,18%,3212 10 90,,item_images/item_8_40mm_long_bend.jpg,item_8_40mm_long_bend.jpg,4,READY_FOR_IMAGE_UPLOAD
MAT-000443,ELEC000443,Electrical-Cable Accessories,Cable,Havells,Cable Gland 25mm Brass - Havells,Cable Gland 25mm Brass - Havells,Nos,?22.00,18%,3945 23 00,,item_images/item_10_25mm_bypass_bend.jpg,item_10_25mm_bypass_bend.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-000335,ELEC000335,Electrical - Enclosures,Electrical,Havells,Enclosure Box IP65 200x150mm - Havells,Enclosure Box IP65 200x150mm - Havells,Nos,?480.00,18%,8536 69 90,,item_images/item_12_fan_box_round.jpg,item_12_fan_box_round.jpg,3,READY_FOR_IMAGE_UPLOAD
MAT-000335,ELEC000335,Electrical - Enclosures,Electrical,Havells,Enclosure Box IP65 200x150mm - Havells,Enclosure Box IP65 200x150mm - Havells,Nos,?480.00,18%,8536 69 90,,item_images/item_13_fan_box_deep.jpg,item_13_fan_box_deep.jpg,3,READY_FOR_IMAGE_UPLOAD
